name,id,nametype,recclass,mass,year,reclat,reclong,point_coordinates,year_only
Nikolaevka,16976,Valid,H4,3996.0,1935-01-01,52.450000,78.633330,"['52.450000', '78.633330']",1935.0
Nikolskoe,16977,Valid,L4,6000.0,1954-01-01,56.116670,37.333330,"['56.116670', '37.333330']",1954.0
Ningbo,16980,Valid,"Iron, IVA",14250.0,1975-01-01,29.866670,121.483330,"['29.866670', '121.483330']",1975.0
Ningqiang,16981,Valid,C3-ung,4610.0,1983-01-01,32.925000,105.906670,"['32.925000', '105.906670']",1983.0
Nio,16982,Valid,H3-4,467.0,1897-01-01,34.200000,131.566670,"['34.200000', '131.566670']",1897.0
N'Kandhla,16983,Valid,"Iron, IID",17200.0,1912-01-01,-28.566670,30.700000,"['-28.566670', '30.700000']",1912.0
Nobleborough,16984,Valid,Eucrite-pmict,2300.0,1823-01-01,44.083330,-69.483330,"['44.083330', '-69.483330']",1823.0
Noblesville,16985,Valid,H4-6,,1991-01-01,40.085280,-86.055000,"['40.085280', '-86.055000']",1991.0
Nogata,16988,Valid,L6,472.0,,33.725000,130.750000,"['33.725000', '130.750000']",
Nogoya,16989,Valid,CM2,4000.0,1879-01-01,-32.366670,-59.833330,"['-32.366670', '-59.833330']",1879.0
Norfork,16994,Valid,"Iron, IIIAB",1050.0,1918-01-01,36.216670,-92.266670,"['36.216670', '-92.266670']",1918.0
Norton County,17922,Valid,Aubrite,1100000.0,1948-01-01,39.683330,-99.866670,"['39.683330', '-99.866670']",1948.0
Noventa Vicentina,17930,Valid,H4,177.0,1971-01-01,45.291670,11.527220,"['45.291670', '11.527220']",1971.0
Novo-Urei,17933,Valid,Ureilite,1900.0,1886-01-01,54.816670,46.000000,"['54.816670', '46.000000']",1886.0
Novy-Ergi,17934,Valid,Stone-uncl,,,58.550000,31.333330,"['58.550000', '31.333330']",
Novy-Projekt,17935,Valid,OC,1001.0,1908-01-01,56.000000,22.000000,"['56.000000', '22.000000']",1908.0
Noyan-Bogdo,17936,Valid,L6,250.0,1933-01-01,42.916670,102.466670,"['42.916670', '102.466670']",1933.0
Nuevo Mercurio,17938,Valid,H5,50000.0,1978-01-01,24.300000,-102.133330,"['24.300000', '-102.133330']",1978.0
Nulles,17959,Valid,H6,5000.0,1851-01-01,41.633330,0.750000,"['41.633330', '0.750000']",1851.0
Numakai,17960,Valid,H4,363.0,1925-01-01,43.333330,141.866670,"['43.333330', '141.866670']",1925.0
Nyaung,17969,Valid,"Iron, IIIAB",,1939-01-01,21.208330,94.916670,"['21.208330', '94.916670']",1939.0
Nyirábrany,17970,Valid,LL5,1100.0,1914-01-01,47.550000,22.025000,"['47.550000', '22.025000']",1914.0
Ochansk,17979,Valid,H4,500000.0,1887-01-01,57.783330,55.266670,"['57.783330', '55.266670']",1887.0
Oesede,17988,Valid,H5,1400.0,1927-01-01,52.283330,8.050000,"['52.283330', '8.050000']",1927.0
Oesel,17989,Valid,L6,6000.0,1855-01-01,58.500000,23.000000,"['58.500000', '23.000000']",1855.0
Ofehértó,17990,Valid,L6,3750.0,1900-01-01,47.883330,22.033330,"['47.883330', '22.033330']",1900.0
Ogi,17994,Valid,H6,14360.0,1741-01-01,33.283330,130.200000,"['33.283330', '130.200000']",1741.0
Ohaba,17995,Valid,H5,16250.0,1857-01-01,46.066670,23.583330,"['46.066670', '23.583330']",1857.0
Ohuma,17996,Valid,L5,7700.0,1963-01-01,6.750000,8.500000,"['6.750000', '8.500000']",1963.0
Ojuelos Altos,17997,Valid,L6,5850.0,1926-01-01,38.183330,-5.400000,"['38.183330', '-5.400000']",1926.0
Okabe,17998,Valid,H5,194.0,1958-01-01,36.183330,139.216670,"['36.183330', '139.216670']",1958.0
Okano,18000,Valid,"Iron, IIAB",4742.0,1904-01-01,35.083330,135.200000,"['35.083330', '135.200000']",1904.0
Okniny,18002,Valid,LL6,12000.0,1834-01-01,50.833330,25.500000,"['50.833330', '25.500000']",1834.0
Oldenburg (1930),18009,Valid,L6,16570.0,1930-01-01,52.950000,8.166670,"['52.950000', '8.166670']",1930.0
Oliva-Gandia,18012,Valid,Stone-uncl,,,39.000000,-0.033330,"['39.000000', '-0.033330']",
Olivenza,18013,Valid,LL5,150000.0,1924-01-01,38.716670,-7.066670,"['38.716670', '-7.066670']",1924.0
Olmedilla de Alarcón,18015,Valid,H5,40000.0,1929-01-01,39.566670,-2.100000,"['39.566670', '-2.100000']",1929.0
Omolon,18019,Valid,"Pallasite, PMG",250000.0,1981-01-01,64.020000,161.808330,"['64.020000', '161.808330']",1981.0
Orgueil,18026,Valid,CI1,14000.0,1864-01-01,43.883330,1.383330,"['43.883330', '1.383330']",1864.0
Orlando,34489,Valid,Eucrite,180.0,2004-01-01,28.547500,-81.362220,"['28.547500', '-81.362220']",2004.0
Ornans,18030,Valid,CO3.4,6000.0,1868-01-01,47.116670,6.150000,"['47.116670', '6.150000']",1868.0
Ortenau,18033,Valid,Stone-uncl,4500.0,,48.500000,8.000000,"['48.500000', '8.000000']",
Orvinio,18034,Valid,H6,3400.0,1872-01-01,42.133330,12.933330,"['42.133330', '12.933330']",1872.0
Oterøy,18042,Valid,L6,246.0,1928-01-01,58.883330,9.400000,"['58.883330', '9.400000']",1928.0
Otomi,18045,Valid,H,6510.0,1867-01-01,38.400000,140.350000,"['38.400000', '140.350000']",1867.0
Ottawa,18046,Valid,LL6,840.0,1896-01-01,38.600000,-95.216670,"['38.600000', '-95.216670']",1896.0
Ouadangou,56729,Valid,L5,4440.0,2003-01-01,12.900000,0.080000,"['12.900000', '0.080000']",2003.0
Oued el Hadjar,18050,Valid,LL6,,1986-01-01,30.180000,-6.577170,"['30.180000', '-6.577170']",1986.0
Oum Dreyga,31282,Valid,H3-5,17000.0,2003-01-01,24.300000,-13.100000,"['24.300000', '-13.100000']",2003.0
Ourique,18052,Valid,H4,20000.0,1998-01-01,37.608330,-8.280000,"['37.608330', '-8.280000']",1998.0
Ovambo,18055,Valid,L6,,1900-01-01,-18.000000,16.000000,"['-18.000000', '16.000000']",1900.0
Oviedo,18058,Valid,H5,205.0,1856-01-01,43.400000,-5.866670,"['43.400000', '-5.866670']",1856.0
Owrucz,18062,Valid,OC,,1775-01-01,51.333330,28.833330,"['51.333330', '28.833330']",1775.0
Pacula,18068,Valid,L6,3400.0,1881-01-01,21.050000,-99.300000,"['21.050000', '-99.300000']",1881.0
Padvarninkai,18069,Valid,Eucrite-mmict,3858.0,1929-01-01,55.666670,25.000000,"['55.666670', '25.000000']",1929.0
Paitan,18072,Valid,H6,515.0,1910-01-01,17.743330,120.455830,"['17.743330', '120.455830']",1910.0
Palahatchie,18073,Valid,OC,,1910-01-01,32.316670,-89.716670,"['32.316670', '-89.716670']",1910.0
Palca de Aparzo,18074,Valid,L5,1430.0,1988-01-01,-23.116670,-65.100000,"['-23.116670', '-65.100000']",1988.0
