name,id,nametype,recclass,mass,year,reclat,reclong,point_coordinates,year_only
Saint-Séverin,23102,Valid,LL6,271000.0,1966-01-01,45.300000,0.233330,"['45.300000', '0.233330']",1966.0
Sakauchi,23103,Valid,Iron,4180.0,1913-01-01,35.666670,136.300000,"['35.666670', '136.300000']",1913.0
Salem,23107,Valid,L6,,1981-01-01,44.979170,-122.969440,"['44.979170', '-122.969440']",1981.0
Salles,23111,Valid,L5,9000.0,1798-01-01,46.050000,4.633330,"['46.050000', '4.633330']",1798.0
Salzwedel,23114,Valid,LL5,43.0,1985-01-01,52.750000,11.050000,"['52.750000', '11.050000']",1985.0
Samelia,23115,Valid,"Iron, IIIAB",2462.0,1921-01-01,25.666670,74.866670,"['25.666670', '74.866670']",1921.0
San Juan Capistrano,23128,Valid,H6,56.0,1973-01-01,33.484720,-117.662500,"['33.484720', '-117.662500']",1973.0
San Michele,31315,Valid,L6,237.0,2002-01-01,43.666670,13.000000,"['43.666670', '13.000000']",2002.0
San Pedro de Quiles,23130,Valid,L6,282.0,1956-01-01,-31.016670,-71.400000,"['-31.016670', '-71.400000']",1956.0
San Pedro Jacuaro,34063,Valid,LL6,460.0,1968-01-01,19.766670,-100.650000,"['19.766670', '-100.650000']",1968.0
Santa Barbara,23161,Valid,L4,400.0,1873-01-01,-29.200000,-51.866670,"['-29.200000', '-51.866670']",1873.0
Santa Cruz,23164,Valid,CM2,60.0,1939-01-01,24.166670,-99.333330,"['24.166670', '-99.333330']",1939.0
Santa Isabel,23165,Valid,L6,5500.0,1924-01-01,-33.900000,-61.700000,"['-33.900000', '-61.700000']",1924.0
Santa Lucia (2008),50909,Valid,L6,4000.0,2008-01-01,-31.535556,-68.489444,"['-31.535556', '-68.489444']",2008.0
São Jose do Rio Preto,23171,Valid,H4,927.0,1962-01-01,-20.810000,-49.380560,"['-20.810000', '-49.380560']",1962.0
Saratov,23176,Valid,L4,200000.0,1918-01-01,52.550000,46.550000,"['52.550000', '46.550000']",1918.0
Sasagase,23187,Valid,H,695.0,1688-01-01,34.716670,137.783330,"['34.716670', '137.783330']",1688.0
Sauguis,23188,Valid,L6,4000.0,1868-01-01,43.150000,-0.850000,"['43.150000', '-0.850000']",1868.0
Savtschenskoje,23190,Valid,LL4,2500.0,1894-01-01,47.216670,29.866670,"['47.216670', '29.866670']",1894.0
Sayama,23192,Valid,CM2,430.0,1986-01-01,35.866670,139.400000,"['35.866670', '139.400000']",1986.0
Sazovice,23455,Valid,L5,412.0,1934-01-01,49.233330,17.566670,"['49.233330', '17.566670']",1934.0
Schellin,23457,Valid,L,7000.0,1715-01-01,53.350000,15.050000,"['53.350000', '15.050000']",1715.0
Schenectady,23458,Valid,H5,,1968-01-01,42.860830,-73.950280,"['42.860830', '-73.950280']",1968.0
Schönenberg,23460,Valid,L6,8000.0,1846-01-01,48.116670,10.466670,"['48.116670', '10.466670']",1846.0
Searsmont,23472,Valid,H5,5400.0,1871-01-01,44.366670,-69.200000,"['44.366670', '-69.200000']",1871.0
Sediköy,23473,Valid,L6,240.0,1917-01-01,38.300000,27.133330,"['38.300000', '27.133330']",1917.0
Segowlie,23476,Valid,LL6,6930.0,1853-01-01,26.750000,84.783330,"['26.750000', '84.783330']",1853.0
Selakopi,23481,Valid,H5,1590.0,1939-01-01,-7.233330,107.333330,"['-7.233330', '107.333330']",1939.0
Seldebourak,23483,Valid,H5,150.0,1947-01-01,22.833330,4.983330,"['22.833330', '4.983330']",1947.0
Semarkona,23487,Valid,LL3.00,691.0,1940-01-01,22.250000,79.000000,"['22.250000', '79.000000']",1940.0
Sena,23495,Valid,H4,4000.0,1773-01-01,41.716670,-0.050000,"['41.716670', '-0.050000']",1773.0
Senboku,23496,Valid,H6,866.0,1993-01-01,39.438330,140.511670,"['39.438330', '140.511670']",1993.0
Seoni,23500,Valid,H6,20000.0,1966-01-01,21.683890,79.500830,"['21.683890', '79.500830']",1966.0
Seres,23501,Valid,H4,8500.0,1818-01-01,41.050000,23.566670,"['41.050000', '23.566670']",1818.0
Serra de Magé,23502,Valid,Eucrite-cm,1800.0,1923-01-01,-8.383330,-36.766670,"['-8.383330', '-36.766670']",1923.0
Sete Lagoas,23504,Valid,H4,350.0,1908-01-01,-19.466670,-44.216670,"['-19.466670', '-44.216670']",1908.0
Sevilla,23508,Valid,LL4,180.0,1862-01-01,37.416670,-6.000000,"['37.416670', '-6.000000']",1862.0
Sevrukovo,23509,Valid,L5,101000.0,1874-01-01,50.616670,36.600000,"['50.616670', '36.600000']",1874.0
Sfax,23512,Valid,L6,7000.0,1989-01-01,34.750000,10.716670,"['34.750000', '10.716670']",1989.0
Shalka,23521,Valid,Diogenite,4000.0,1850-01-01,23.100000,87.300000,"['23.100000', '87.300000']",1850.0
Sharps,23525,Valid,H3.4,1265.0,1921-01-01,37.833330,-76.700000,"['37.833330', '-76.700000']",1921.0
Shelburne,23529,Valid,L5,18600.0,1904-01-01,44.050000,-80.166670,"['44.050000', '-80.166670']",1904.0
Shergotty,23530,Valid,Martian (shergottite),5000.0,1865-01-01,24.550000,84.833330,"['24.550000', '84.833330']",1865.0
Sheyang,23531,Valid,L6,605.0,1976-01-01,33.650000,120.066670,"['33.650000', '120.066670']",1976.0
Shikarpur,23534,Valid,L6,,1921-01-01,25.850000,87.577500,"['25.850000', '87.577500']",1921.0
Shuangyang,23582,Valid,H5,3900.0,1971-01-01,43.500000,125.666670,"['43.500000', '125.666670']",1971.0
Shupiyan,23583,Valid,H6,5000.0,1912-01-01,33.716670,74.833330,"['33.716670', '74.833330']",1912.0
Shytal,23584,Valid,L6,3200.0,1863-01-01,24.333330,90.166670,"['24.333330', '90.166670']",1863.0
Siena,23586,Valid,LL5,3700.0,1794-01-01,43.116670,11.600000,"['43.116670', '11.600000']",1794.0
Sikhote-Alin,23593,Valid,"Iron, IIAB",23000000.0,1947-01-01,46.160000,134.653330,"['46.160000', '134.653330']",1947.0
Silao,23594,Valid,H5,1710.0,1995-01-01,20.933330,-101.383330,"['20.933330', '-101.383330']",1995.0
Silistra,55584,Valid,Achondrite-ung,,1917-01-01,44.116670,27.266670,"['44.116670', '27.266670']",1917.0
Simmern,23603,Valid,H5,1222.0,1920-01-01,49.983330,7.533330,"['49.983330', '7.533330']",1920.0
Sinai,23606,Valid,L6,1455.0,1916-01-01,30.900000,32.483330,"['30.900000', '32.483330']",1916.0
Sindhri,23611,Valid,H5,8400.0,1901-01-01,26.216670,69.550000,"['26.216670', '69.550000']",1901.0
Sinnai,23613,Valid,H6,2000.0,1956-01-01,39.300000,9.200000,"['39.300000', '9.200000']",1956.0
Sioux County,23614,Valid,Eucrite-mmict,4100.0,1933-01-01,42.583330,-103.666670,"['42.583330', '-103.666670']",1933.0
Sitathali,23616,Valid,H5,1600.0,1875-01-01,20.916670,82.583330,"['20.916670', '82.583330']",1875.0
Sivas,23617,Valid,H6,40000.0,1989-01-01,39.824670,36.135830,"['39.824670', '36.135830']",1989.0
Sixiangkou,23619,Valid,L5,630.0,1989-01-01,32.433330,119.866670,"['32.433330', '119.866670']",1989.0
Ski,23621,Valid,L6,850.0,1848-01-01,59.733330,10.866670,"['59.733330', '10.866670']",1848.0
Slavetic,23626,Valid,H5,1708.0,1868-01-01,45.683330,15.600000,"['45.683330', '15.600000']",1868.0
Slobodka,23645,Valid,L4,2750.0,1818-01-01,55.000000,35.000000,"['55.000000', '35.000000']",1818.0
Soheria,23660,Valid,OC,,1960-01-01,27.133330,84.066670,"['27.133330', '84.066670']",1960.0
Soko-Banja,23661,Valid,LL4,80000.0,1877-01-01,43.666670,21.866670,"['43.666670', '21.866670']",1877.0
Sologne,23663,Valid,H5,54.0,1860-01-01,47.366670,1.733330,"['47.366670', '1.733330']",1860.0
Sołtmany,53829,Valid,L6,1066.0,2011-01-01,54.008830,22.005000,"['54.008830', '22.005000']",2011.0
Sone,23667,Valid,H5,17100.0,1866-01-01,35.166670,135.333330,"['35.166670', '135.333330']",1866.0
Songyuan,23668,Valid,L6,36900.0,1993-01-01,45.250000,125.000000,"['45.250000', '125.000000']",1993.0
Sopot,23670,Valid,OC,958.0,1927-01-01,44.416670,23.500000,"['44.416670', '23.500000']",1927.0
Soroti,23671,Valid,"Iron, ungrouped",2050.0,1945-01-01,1.700000,33.633330,"['1.700000', '33.633330']",1945.0
St. Caprais-de-Quinsac,23081,Valid,L6,360.0,1883-01-01,44.750000,0.050000,"['44.750000', '0.050000']",1883.0
St. Christophe-la-Chartreuse,23082,Valid,L6,5500.0,1841-01-01,46.950000,-1.500000,"['46.950000', '-1.500000']",1841.0
St. Denis Westrem,23083,Valid,L6,700.0,1855-01-01,51.050000,3.750000,"['51.050000', '3.750000']",1855.0
St. Germain-du-Pinel,23087,Valid,H6,4000.0,1890-01-01,48.016670,-1.150000,"['48.016670', '-1.150000']",1890.0
St. Louis,23089,Valid,H4,1000.0,1950-01-01,38.700000,-90.233330,"['38.700000', '-90.233330']",1950.0
St. Mark's,23090,Valid,EH5,13780.0,1903-01-01,-32.016670,27.416670,"['-32.016670', '27.416670']",1903.0
St. Mary's County,23091,Valid,LL3.3,,1919-01-01,38.166670,-76.383330,"['38.166670', '-76.383330']",1919.0
St. Mesmin,23092,Valid,LL6,8300.0,1866-01-01,48.450000,3.933330,"['48.450000', '3.933330']",1866.0
St. Michel,23093,Valid,L6,17000.0,1910-01-01,61.650000,27.200000,"['61.650000', '27.200000']",1910.0
St.-Chinian,23097,Valid,L6,,1959-01-01,43.433330,2.950000,"['43.433330', '2.950000']",1959.0
Ställdalen,23712,Valid,H5,34000.0,1876-01-01,59.933330,14.950000,"['59.933330', '14.950000']",1876.0
Stannern,23713,Valid,Eucrite-mmict,52000.0,1808-01-01,49.283330,15.566670,"['49.283330', '15.566670']",1808.0
Stavropol,23717,Valid,L6,1500.0,1857-01-01,45.050000,41.983330,"['45.050000', '41.983330']",1857.0
Ste. Marguerite,23099,Valid,H4,4960.0,1962-01-01,50.766670,3.000000,"['50.766670', '3.000000']",1962.0
Sterlitamak,23724,Valid,"Iron, IIIAB",325000.0,1990-01-01,53.666670,55.983330,"['53.666670', '55.983330']",1990.0
Stolzenau,23726,Valid,Stone-uncl,,,52.533330,9.050000,"['52.533330', '9.050000']",
Stratford,23728,Valid,L6,50.0,1974-01-01,41.200000,-73.133330,"['41.200000', '-73.133330']",1974.0
Strathmore,23729,Valid,L6,13400.0,1917-01-01,56.583330,-3.250000,"['56.583330', '-3.250000']",1917.0
Stretchleigh,23732,Valid,Stone-uncl,10400.0,,50.383330,-3.950000,"['50.383330', '-3.950000']",
St-Robert,23733,Valid,H5,25400.0,1994-01-01,45.968610,-72.978060,"['45.968610', '-72.978060']",1994.0
Success,23736,Valid,L6,3500.0,1924-01-01,36.483330,-90.666670,"['36.483330', '-90.666670']",1924.0
Suchy Dul,23737,Valid,L6,,1969-01-01,50.538060,16.263330,"['50.538060', '16.263330']",1969.0
Suizhou,23738,Valid,L6,260000.0,1986-01-01,31.616670,113.466670,"['31.616670', '113.466670']",1986.0
Sulagiri,48951,Valid,LL6,110000.0,2008-01-01,12.666670,78.033330,"['12.666670', '78.033330']",2008.0
Sultanpur,23741,Valid,L/LL6,,1916-01-01,25.933330,84.283330,"['25.933330', '84.283330']",1916.0
Sungach,23745,Valid,H5,637.0,1935-01-01,44.866670,133.166670,"['44.866670', '133.166670']",1935.0
Supuhee,23760,Valid,H6,7235.0,1865-01-01,26.716670,84.216670,"['26.716670', '84.216670']",1865.0
Sutter's Mill,55529,Valid,C,,2012-01-01,38.803890,-120.908060,"['38.803890', '-120.908060']",2012.0
Sylacauga,23773,Valid,H4,5560.0,1954-01-01,33.188360,-86.294500,"['33.188360', '-86.294500']",1954.0
Tabor,23776,Valid,H5,7540.0,1753-01-01,49.400000,14.650000,"['49.400000', '14.650000']",1753.0
Tadjera,23778,Valid,L5,9000.0,1867-01-01,36.183330,5.416670,"['36.183330', '5.416670']",1867.0
Tagish Lake,23782,Valid,C2-ung,10000.0,2000-01-01,59.704440,-134.201390,"['59.704440', '-134.201390']",2000.0
Tahara,23784,Valid,H4/5,1000.0,1991-01-01,34.720000,137.305000,"['34.720000', '137.305000']",1991.0
Takenouchi,23789,Valid,H5,720.0,1880-01-01,35.383330,134.900000,"['35.383330', '134.900000']",1880.0
Talampaya,23791,Valid,Eucrite-cm,1421.0,1995-01-01,,,"[None, None]",1995.0
Tambakwatu,23795,Valid,L6,10500.0,1975-01-01,-7.750000,112.766670,"['-7.750000', '112.766670']",1975.0
Tamdakht,48691,Valid,H5,100000.0,2008-01-01,31.163330,-7.015000,"['31.163330', '-7.015000']",2008.0
Tané,23801,Valid,L5,905.0,1918-01-01,35.433330,136.233330,"['35.433330', '136.233330']",1918.0
Taonan,23873,Valid,L5,3850.0,1965-01-01,45.400000,122.900000,"['45.400000', '122.900000']",1965.0
Tatahouine,23884,Valid,Diogenite,12000.0,1931-01-01,32.950000,10.416670,"['32.950000', '10.416670']",1931.0
Tathlith,23885,Valid,L6,2500.0,1967-01-01,19.383330,43.733330,"['19.383330', '43.733330']",1967.0
Tauk,23887,Valid,L6,6000.0,1929-01-01,35.133330,44.450000,"['35.133330', '44.450000']",1929.0
Tauti,23888,Valid,L6,21000.0,1937-01-01,46.716670,23.500000,"['46.716670', '23.500000']",1937.0
Tenham,23897,Valid,L6,160000.0,1879-01-01,-25.733330,142.950000,"['-25.733330', '142.950000']",1879.0
Tennasilm,23898,Valid,L4,28500.0,1872-01-01,58.033330,26.950000,"['58.033330', '26.950000']",1872.0
Thal,23908,Valid,H6,342.0,1950-01-01,33.400000,70.600000,"['33.400000', '70.600000']",1950.0
Thika,54493,Valid,L6,14200.0,2011-01-01,-1.002780,37.150280,"['-1.002780', '37.150280']",2011.0
Thuathe,23976,Valid,H4/5,45300.0,2002-01-01,-29.333330,27.583330,"['-29.333330', '27.583330']",2002.0
Tianzhang,23984,Valid,H5,2232.0,1986-01-01,32.946670,118.990000,"['32.946670', '118.990000']",1986.0
Tieschitz,23989,Valid,H/L3.6,28000.0,1878-01-01,49.600000,17.116670,"['49.600000', '17.116670']",1878.0
Tilden,23998,Valid,L6,74800.0,1927-01-01,38.200000,-89.683330,"['38.200000', '-89.683330']",1927.0
Tillaberi,23999,Valid,L6,3000.0,1970-01-01,14.250000,1.533330,"['14.250000', '1.533330']",1970.0
Timochin,24004,Valid,H5,65500.0,1807-01-01,54.500000,35.200000,"['54.500000', '35.200000']",1807.0
Tirupati,24009,Valid,H6,230.0,1934-01-01,13.633330,79.416670,"['13.633330', '79.416670']",1934.0
Tissint,54823,Valid,Martian (shergottite),7000.0,2011-01-01,29.481950,-7.611230,"['29.481950', '-7.611230']",2011.0
Tjabe,24011,Valid,H6,20000.0,1869-01-01,-7.083330,111.533330,"['-7.083330', '111.533330']",1869.0
Tjerebon,24012,Valid,L5,16500.0,1922-01-01,-6.666670,106.583330,"['-6.666670', '106.583330']",1922.0
Tomakovka,24019,Valid,LL6,600.0,1905-01-01,47.850000,34.766670,"['47.850000', '34.766670']",1905.0
